Grasp No.,Physical?,RespondentID,StartDate,IP Address,Survey No.,Survey No. Cumulative,Yes/No Order,Rating Value,Successful?,Expirimental
23,0,2429351794,41293.28035,108.70.31.103,5,101,1,0.75,1,1
23,0,2429351570,41293.27971,108.15.202.52,5,101,1,1,1,1
23,0,2429335615,41293.2423,68.188.153.50,5,101,1,0.75,1,1
23,0,2429313914,41293.20203,74.98.170.46,5,101,1,0.75,1,1
23,0,2429306833,41293.19086,72.187.43.210,5,101,1,1,1,1
23,0,2429288536,41293.16325,98.224.55.167,5,101,1,1,1,1
23,0,2429286224,41293.15984,166.137.122.242,5,101,1,0.75,1,1
23,0,2429283011,41293.15543,98.154.123.36,5,101,1,0.75,1,1
52,0,2429497581,41293.58176,96.39.123.248,6,102,2,0.75,0,1
52,0,2429480054,41293.55875,108.244.230.90,6,102,2,0.5,0,1
52,0,2429351794,41293.28035,108.70.31.103,6,102,2,0.75,1,1
52,0,2429351570,41293.27971,108.15.202.52,6,102,2,1,1,1
52,0,2429335615,41293.2423,68.188.153.50,6,102,2,0.75,1,1
52,0,2429313914,41293.20203,74.98.170.46,6,102,2,0.5,0,1
52,0,2429306833,41293.19086,72.187.43.210,6,102,2,0.75,1,1
52,0,2429288536,41293.16325,98.224.55.167,6,102,2,0.75,0,1
52,0,2429286224,41293.15984,166.137.122.242,6,102,2,0.5,0,1
52,0,2429283011,41293.15543,98.154.123.36,6,102,2,0.5,0,1
32,0,2429497581,41293.58176,96.39.123.248,7,103,2,0.5,0,1
32,0,2429480054,41293.55875,108.244.230.90,7,103,2,0.75,1,1
32,0,2429351794,41293.28035,108.70.31.103,7,103,2,0.75,1,1
32,0,2429351570,41293.27971,108.15.202.52,7,103,2,0.25,0,1
32,0,2429335615,41293.2423,68.188.153.50,7,103,2,0.5,0,1
32,0,2429313914,41293.20203,74.98.170.46,7,103,2,0,0,1
32,0,2429306833,41293.19086,72.187.43.210,7,103,2,1,1,1
32,0,2429288536,41293.16325,98.224.55.167,7,103,2,0.5,0,1
32,0,2429286224,41293.15984,166.137.122.242,7,103,2,0.75,0,1
32,0,2429283011,41293.15543,98.154.123.36,7,103,2,0.5,0,1
61,0,2429497581,41293.58176,96.39.123.248,8,104,1,0.75,1,1
61,0,2429480054,41293.55875,108.244.230.90,8,104,1,0.75,1,1
61,0,2429351794,41293.28035,108.70.31.103,8,104,1,0.5,0,1
61,0,2429351570,41293.27971,108.15.202.52,8,104,1,0,0,1
61,0,2429335615,41293.2423,68.188.153.50,8,104,1,0.75,1,1
61,0,2429313914,41293.20203,74.98.170.46,8,104,1,0.75,0,1
61,0,2429306833,41293.19086,72.187.43.210,8,104,1,0.75,1,1
61,0,2429288536,41293.16325,98.224.55.167,8,104,1,0.75,0,1
61,0,2429286224,41293.15984,166.137.122.242,8,104,1,0.75,1,1
61,0,2429283011,41293.15543,98.154.123.36,8,104,1,0.5,0,1
84,0,2429497581,41293.58176,96.39.123.248,9,105,1,0.75,1,1
84,0,2429480054,41293.55875,108.244.230.90,9,105,1,0.75,0,1
84,0,2429351794,41293.28035,108.70.31.103,9,105,1,0.75,1,1
84,0,2429351570,41293.27971,108.15.202.52,9,105,1,1,1,1
84,0,2429335615,41293.2423,68.188.153.50,9,105,1,0.75,1,1
84,0,2429313914,41293.20203,74.98.170.46,9,105,1,0.75,1,1
84,0,2429306833,41293.19086,72.187.43.210,9,105,1,0.75,1,1
84,0,2429288536,41293.16325,98.224.55.167,9,105,1,0.75,0,1
84,0,2429286224,41293.15984,166.137.122.242,9,105,1,0,1,1
84,0,2429283011,41293.15543,98.154.123.36,9,105,1,0.25,0,1
76,0,2429497581,41293.58176,96.39.123.248,10,106,1,0.5,0,0.88
76,0,2429480054,41293.55875,108.244.230.90,10,106,1,0.75,1,0.88
76,0,2429351794,41293.28035,108.70.31.103,10,106,1,0.75,1,0.88
76,0,2429351570,41293.27971,108.15.202.52,10,106,1,0,0,0.88
76,0,2429335615,41293.2423,68.188.153.50,10,106,1,1,0,0.88
76,0,2429313914,41293.20203,74.98.170.46,10,106,1,0.5,0,0.88
76,0,2429306833,41293.19086,72.187.43.210,10,106,1,1,1,0.88
76,0,2429288536,41293.16325,98.224.55.167,10,106,1,0.5,0,0.88
76,0,2429286224,41293.15984,166.137.122.242,10,106,1,0.75,1,0.88
76,0,2429283011,41293.15543,98.154.123.36,10,106,1,0.75,1,0.88
83,0,2429497581,41293.58176,96.39.123.248,11,107,2,0.5,0,1
83,0,2429480054,41293.55875,108.244.230.90,11,107,2,0.25,0,1
83,0,2429351794,41293.28035,108.70.31.103,11,107,2,0.75,1,1
83,0,2429351570,41293.27971,108.15.202.52,11,107,2,0.75,1,1
83,0,2429335615,41293.2423,68.188.153.50,11,107,2,0.5,0,1
83,0,2429313914,41293.20203,74.98.170.46,11,107,2,0.5,1,1
83,0,2429306833,41293.19086,72.187.43.210,11,107,2,0.5,1,1
83,0,2429288536,41293.16325,98.224.55.167,11,107,2,0.75,1,1
83,0,2429286224,41293.15984,166.137.122.242,11,107,2,0.25,0,1
83,0,2429283011,41293.15543,98.154.123.36,11,107,2,0.5,0,1
33,0,2429497581,41293.58176,96.39.123.248,12,108,2,0.5,1,0.75
33,0,2429480054,41293.55875,108.244.230.90,12,108,2,1,1,0.75
33,0,2429351794,41293.28035,108.70.31.103,12,108,2,0.25,0,0.75
33,0,2429351570,41293.27971,108.15.202.52,12,108,2,0,0,0.75
33,0,2429335615,41293.2423,68.188.153.50,12,108,2,0.5,1,0.75
33,0,2429313914,41293.20203,74.98.170.46,12,108,2,0,0,0.75
33,0,2429306833,41293.19086,72.187.43.210,12,108,2,0.75,1,0.75
33,0,2429288536,41293.16325,98.224.55.167,12,108,2,0.75,1,0.75
33,0,2429286224,41293.15984,166.137.122.242,12,108,2,0.25,1,0.75
33,0,2429283011,41293.15543,98.154.123.36,12,108,2,0.5,1,0.75
87,0,2429497581,41293.58176,96.39.123.248,13,109,1,0.5,1,1
87,0,2429480054,41293.55875,108.244.230.90,13,109,1,1,1,1
87,0,2429351794,41293.28035,108.70.31.103,13,109,1,0.75,1,1
87,0,2429351570,41293.27971,108.15.202.52,13,109,1,0,0,1
87,0,2429335615,41293.2423,68.188.153.50,13,109,1,0.75,1,1
87,0,2429313914,41293.20203,74.98.170.46,13,109,1,0.75,1,1
87,0,2429306833,41293.19086,72.187.43.210,13,109,1,0.75,1,1
87,0,2429288536,41293.16325,98.224.55.167,13,109,1,1,1,1
87,0,2429286224,41293.15984,166.137.122.242,13,109,1,0.5,1,1
87,0,2429283011,41293.15543,98.154.123.36,13,109,1,0.5,1,1
6,0,2429497581,41293.58176,96.39.123.248,14,110,2,0.5,1,0.63
6,0,2429480054,41293.55875,108.244.230.90,14,110,2,0.5,0,0.63
6,0,2429351794,41293.28035,108.70.31.103,14,110,2,0.75,1,0.63
6,0,2429351570,41293.27971,108.15.202.52,14,110,2,0.25,0,0.63
6,0,2429335615,41293.2423,68.188.153.50,14,110,2,0.75,1,0.63
6,0,2429313914,41293.20203,74.98.170.46,14,110,2,0.75,1,0.63
6,0,2429306833,41293.19086,72.187.43.210,14,110,2,1,1,0.63
6,0,2429288536,41293.16325,98.224.55.167,14,110,2,0.75,0,0.63
6,0,2429286224,41293.15984,166.137.122.242,14,110,2,0.25,1,0.63
6,0,2429283011,41293.15543,98.154.123.36,14,110,2,0.5,0,0.63
42,0,2429497581,41293.58176,96.39.123.248,15,111,1,0.75,1,0.5
42,0,2429480054,41293.55875,108.244.230.90,15,111,1,0.75,1,0.5
42,0,2429351794,41293.28035,108.70.31.103,15,111,1,1,1,0.5
42,0,2429351570,41293.27971,108.15.202.52,15,111,1,1,1,0.5
42,0,2429335615,41293.2423,68.188.153.50,15,111,1,1,1,0.5
42,0,2429313914,41293.20203,74.98.170.46,15,111,1,0.75,1,0.5
42,0,2429306833,41293.19086,72.187.43.210,15,111,1,1,1,0.5
42,0,2429288536,41293.16325,98.224.55.167,15,111,1,0.25,0,0.5
42,0,2429286224,41293.15984,166.137.122.242,15,111,1,0.5,1,0.5
42,0,2429283011,41293.15543,98.154.123.36,15,111,1,1,1,0.5
71,0,2429497581,41293.58176,96.39.123.248,16,112,2,0.5,0,0.25
71,0,2429480054,41293.55875,108.244.230.90,16,112,2,0.5,0,0.25
71,0,2429351794,41293.28035,108.70.31.103,16,112,2,0.75,0,0.25
71,0,2429351570,41293.27971,108.15.202.52,16,112,2,0.5,1,0.25
71,0,2429335615,41293.2423,68.188.153.50,16,112,2,0.75,0,0.25
71,0,2429313914,41293.20203,74.98.170.46,16,112,2,0.75,1,0.25
71,0,2429306833,41293.19086,72.187.43.210,16,112,2,1,1,0.25
71,0,2429288536,41293.16325,98.224.55.167,16,112,2,0.75,1,0.25
71,0,2429286224,41293.15984,166.137.122.242,16,112,2,0.75,1,0.25
71,0,2429283011,41293.15543,98.154.123.36,16,112,2,0.75,1,0.25
43,0,2429497581,41293.58176,96.39.123.248,17,113,2,0.5,0,0.63
43,0,2429480054,41293.55875,108.244.230.90,17,113,2,1,1,0.63
43,0,2429351794,41293.28035,108.70.31.103,17,113,2,0.5,0,0.63
43,0,2429351570,41293.27971,108.15.202.52,17,113,2,1,1,0.63
43,0,2429335615,41293.2423,68.188.153.50,17,113,2,0.75,0,0.63
43,0,2429313914,41293.20203,74.98.170.46,17,113,2,0.25,1,0.63
43,0,2429306833,41293.19086,72.187.43.210,17,113,2,0.75,0,0.63
43,0,2429288536,41293.16325,98.224.55.167,17,113,2,0.25,0,0.63
43,0,2429286224,41293.15984,166.137.122.242,17,113,2,0.25,0,0.63
43,0,2429283011,41293.15543,98.154.123.36,17,113,2,0.75,1,0.63
41,0,2429497581,41293.58176,96.39.123.248,18,114,1,0.75,1,1
41,0,2429480054,41293.55875,108.244.230.90,18,114,1,1,1,1
41,0,2429351794,41293.28035,108.70.31.103,18,114,1,1,1,1
41,0,2429351570,41293.27971,108.15.202.52,18,114,1,1,1,1
41,0,2429335615,41293.2423,68.188.153.50,18,114,1,1,1,1
41,0,2429313914,41293.20203,74.98.170.46,18,114,1,1,1,1
41,0,2429306833,41293.19086,72.187.43.210,18,114,1,1,1,1
41,0,2429288536,41293.16325,98.224.55.167,18,114,1,1,1,1
41,0,2429286224,41293.15984,166.137.122.242,18,114,1,0.75,1,1
41,0,2429283011,41293.15543,98.154.123.36,18,114,1,1,1,1
18,1,2431471682,41295.80684,92.53.5.118,1,33,2,0.5,0,0
18,1,2430640151,41295.1759,101.63.185.3,1,33,2,1,1,0
18,1,2430203694,41294.66307,99.188.242.69,1,33,2,1,1,0
18,1,2429584448,41293.67597,97.118.153.156,1,33,2,0.5,1,0
18,1,2427540454,41292.02427,67.161.199.235,1,33,2,0.75,1,0
18,1,2427474765,41291.98406,121.247.68.245,1,33,2,1,0,0
18,1,2425848529,41291.09434,173.78.98.87,1,33,2,0.75,1,0
18,1,2424251684,41290.286,108.15.193.187,1,33,2,0.75,1,0
18,1,2424207684,41290.22519,122.164.244.167,1,33,2,1,1,0
65,0,2429497581,41293.58176,96.39.123.248,20,116,1,0.75,1,1
65,0,2429480054,41293.55875,108.244.230.90,20,116,1,1,1,1
65,0,2429351794,41293.28035,108.70.31.103,20,116,1,0.75,0,1
65,0,2429351570,41293.27971,108.15.202.52,20,116,1,0,0,1
65,0,2429335615,41293.2423,68.188.153.50,20,116,1,1,1,1
65,0,2429313914,41293.20203,74.98.170.46,20,116,1,0.75,1,1
65,0,2429306833,41293.19086,72.187.43.210,20,116,1,0.75,1,1
65,0,2429288536,41293.16325,98.224.55.167,20,116,1,1,1,1
65,0,2429286224,41293.15984,166.137.122.242,20,116,1,1,1,1
65,0,2429283011,41293.15543,98.154.123.36,20,116,1,0.75,1,1
14,0,2429497581,41293.58176,96.39.123.248,21,117,1,0.25,0,1
14,0,2429480054,41293.55875,108.244.230.90,21,117,1,0.25,0,1
14,0,2429351794,41293.28035,108.70.31.103,21,117,1,0.5,1,1
14,0,2429351570,41293.27971,108.15.202.52,21,117,1,0,0,1
14,0,2429335615,41293.2423,68.188.153.50,21,117,1,0.25,0,1
14,0,2429313914,41293.20203,74.98.170.46,21,117,1,0.25,1,1
14,0,2429306833,41293.19086,72.187.43.210,21,117,1,0.5,1,1
14,0,2429288536,41293.16325,98.224.55.167,21,117,1,0.5,0,1
14,0,2429286224,41293.15984,166.137.122.242,21,117,1,0.75,1,1
14,0,2429283011,41293.15543,98.154.123.36,21,117,1,0.25,0,1
24,0,2429497581,41293.58176,96.39.123.248,22,118,1,0.5,0,0
24,0,2429480054,41293.55875,108.244.230.90,22,118,1,0.75,1,0
24,0,2429351794,41293.28035,108.70.31.103,22,118,1,0.5,0,0
24,0,2429351570,41293.27971,108.15.202.52,22,118,1,1,1,0
24,0,2429335615,41293.2423,68.188.153.50,22,118,1,0.5,0,0
24,0,2429313914,41293.20203,74.98.170.46,22,118,1,1,1,0
24,0,2429306833,41293.19086,72.187.43.210,22,118,1,0.75,1,0
24,0,2429288536,41293.16325,98.224.55.167,22,118,1,1,1,0
24,0,2429286224,41293.15984,166.137.122.242,22,118,1,0.5,1,0
24,0,2429283011,41293.15543,98.154.123.36,22,118,1,0.75,1,0
7,0,2429497581,41293.58176,96.39.123.248,23,119,2,0.5,0,0.63
7,0,2429480054,41293.55875,108.244.230.90,23,119,2,1,1,0.63
7,0,2429351794,41293.28035,108.70.31.103,23,119,2,0.5,0,0.63
7,0,2429351570,41293.27971,108.15.202.52,23,119,2,0,0,0.63
7,0,2429335615,41293.2423,68.188.153.50,23,119,2,0.75,1,0.63
7,0,2429313914,41293.20203,74.98.170.46,23,119,2,0.5,0,0.63
7,0,2429306833,41293.19086,72.187.43.210,23,119,2,0.75,0,0.63
7,0,2429288536,41293.16325,98.224.55.167,23,119,2,0.5,0,0.63
7,0,2429286224,41293.15984,166.137.122.242,23,119,2,0.5,0,0.63
7,0,2429283011,41293.15543,98.154.123.36,23,119,2,1,1,0.63
53,0,2429497581,41293.58176,96.39.123.248,24,120,2,0.25,0,0.88
53,0,2429480054,41293.55875,108.244.230.90,24,120,2,0.75,1,0.88
53,0,2429351794,41293.28035,108.70.31.103,24,120,2,1,1,0.88
53,0,2429351570,41293.27971,108.15.202.52,24,120,2,1,1,0.88
53,0,2429335615,41293.2423,68.188.153.50,24,120,2,0.75,0,0.88
53,0,2429313914,41293.20203,74.98.170.46,24,120,2,0.25,1,0.88
53,0,2429306833,41293.19086,72.187.43.210,24,120,2,0.75,1,0.88
53,0,2429288536,41293.16325,98.224.55.167,24,120,2,1,1,0.88
53,0,2429286224,41293.15984,166.137.122.242,24,120,2,0.25,0,0.88
53,0,2429283011,41293.15543,98.154.123.36,24,120,2,0.75,1,0.88
18,1,2424192633,41290.20704,68.184.44.135,1,33,2,0.75,0,0
38,1,2431471682,41295.80684,92.53.5.118,25,57,2,0.5,0,0
38,1,2430640151,41295.1759,101.63.185.3,25,57,2,0.25,0,0
38,1,2430203694,41294.66307,99.188.242.69,25,57,2,0.25,0,0
38,1,2427540454,41292.02427,67.161.199.235,25,57,2,0.5,1,0
38,1,2427474765,41291.98406,121.247.68.245,25,57,2,0,0,0
38,1,2425848529,41291.09434,173.78.98.87,25,57,2,0.25,0,0
38,1,2424251684,41290.286,108.15.193.187,25,57,2,0,0,0
38,1,2424207684,41290.22519,122.164.244.167,25,57,2,0,0,0
15,0,2429497581,41293.58176,96.39.123.248,26,122,1,0.25,0,1
15,0,2429480054,41293.55875,108.244.230.90,26,122,1,0.75,1,1
15,0,2429351794,41293.28035,108.70.31.103,26,122,1,0.75,0,1
15,0,2429351570,41293.27971,108.15.202.52,26,122,1,0.25,0,1
15,0,2429335615,41293.2423,68.188.153.50,26,122,1,0.5,0,1
15,0,2429313914,41293.20203,74.98.170.46,26,122,1,0.75,1,1
15,0,2429306833,41293.19086,72.187.43.210,26,122,1,0.75,1,1
15,0,2429288536,41293.16325,98.224.55.167,26,122,1,0.75,0,1
15,0,2429286224,41293.15984,166.137.122.242,26,122,1,0.5,1,1
15,0,2429283011,41293.15543,98.154.123.36,26,122,1,0.25,0,1
47,0,2429497581,41293.58176,96.39.123.248,27,123,1,0.5,1,0.75
47,0,2429480054,41293.55875,108.244.230.90,27,123,1,0.75,1,0.75
47,0,2429351794,41293.28035,108.70.31.103,27,123,1,0.75,1,0.75
47,0,2429351570,41293.27971,108.15.202.52,27,123,1,1,1,0.75
47,0,2429335615,41293.2423,68.188.153.50,27,123,1,0.75,1,0.75
47,0,2429313914,41293.20203,74.98.170.46,27,123,1,0.25,0,0.75
47,0,2429306833,41293.19086,72.187.43.210,27,123,1,0.75,1,0.75
47,0,2429288536,41293.16325,98.224.55.167,27,123,1,0.5,0,0.75
47,0,2429286224,41293.15984,166.137.122.242,27,123,1,0.5,1,0.75
47,0,2429283011,41293.15543,98.154.123.36,27,123,1,0.25,0,0.75
48,1,2432115501,41296.2417,27.4.242.244,8,72,1,0.5,0,0
48,1,2430200223,41294.65855,99.188.242.69,8,72,1,0.75,1,0
48,1,2429585833,41293.67756,97.118.153.156,8,72,1,0.75,0,0
48,1,2429360396,41293.30351,108.15.202.52,8,72,1,0.5,0,0
8,1,2432115501,41296.2417,27.4.242.244,13,77,1,0,0,0
55,0,2429497581,41293.58176,96.39.123.248,29,125,2,0.75,1,0
55,0,2429480054,41293.55875,108.244.230.90,29,125,2,0.75,1,0
55,0,2429351794,41293.28035,108.70.31.103,29,125,2,1,1,0
55,0,2429351570,41293.27971,108.15.202.52,29,125,2,0.75,1,0
55,0,2429335615,41293.2423,68.188.153.50,29,125,2,1,1,0
55,0,2429313914,41293.20203,74.98.170.46,29,125,2,1,1,0
55,0,2429306833,41293.19086,72.187.43.210,29,125,2,1,1,0
55,0,2429288536,41293.16325,98.224.55.167,29,125,2,1,1,0
55,0,2429286224,41293.15984,166.137.122.242,29,125,2,0.25,1,0
55,0,2429283011,41293.15543,98.154.123.36,29,125,2,1,1,0
64,0,2429497581,41293.58176,96.39.123.248,30,126,1,0.75,1,0.25
64,0,2429480054,41293.55875,108.244.230.90,30,126,1,1,1,0.25
64,0,2429351794,41293.28035,108.70.31.103,30,126,1,1,1,0.25
64,0,2429351570,41293.27971,108.15.202.52,30,126,1,1,1,0.25
64,0,2429335615,41293.2423,68.188.153.50,30,126,1,0,0,0.25
64,0,2429313914,41293.20203,74.98.170.46,30,126,1,1,1,0.25
64,0,2429306833,41293.19086,72.187.43.210,30,126,1,1,1,0.25
64,0,2429288536,41293.16325,98.224.55.167,30,126,1,1,1,0.25
64,0,2429286224,41293.15984,166.137.122.242,30,126,1,0.75,1,0.25
64,0,2429283011,41293.15543,98.154.123.36,30,126,1,1,1,0.25
26,0,2429497581,41293.58176,96.39.123.248,31,127,1,0,0,0
26,0,2429480054,41293.55875,108.244.230.90,31,127,1,0.75,1,0
26,0,2429351794,41293.28035,108.70.31.103,31,127,1,0.75,0,0
26,0,2429351570,41293.27971,108.15.202.52,31,127,1,1,1,0
26,0,2429335615,41293.2423,68.188.153.50,31,127,1,0.75,1,0
26,0,2429313914,41293.20203,74.98.170.46,31,127,1,0.75,0,0
26,0,2429306833,41293.19086,72.187.43.210,31,127,1,0.75,0,0
26,0,2429288536,41293.16325,98.224.55.167,31,127,1,1,1,0
26,0,2429286224,41293.15984,166.137.122.242,31,127,1,0.5,1,0
26,0,2429283011,41293.15543,98.154.123.36,31,127,1,0.75,1,0
81,0,2429497581,41293.58176,96.39.123.248,32,128,1,1,1,1
81,0,2429480054,41293.55875,108.244.230.90,32,128,1,1,1,1
81,0,2429351794,41293.28035,108.70.31.103,32,128,1,1,1,1
81,0,2429351570,41293.27971,108.15.202.52,32,128,1,1,1,1
81,0,2429335615,41293.2423,68.188.153.50,32,128,1,0.75,1,1
81,0,2429313914,41293.20203,74.98.170.46,32,128,1,1,1,1
81,0,2429306833,41293.19086,72.187.43.210,32,128,1,1,1,1
81,0,2429288536,41293.16325,98.224.55.167,32,128,1,1,1,1
81,0,2429286224,41293.15984,166.137.122.242,32,128,1,1,1,1
81,0,2429283011,41293.15543,98.154.123.36,32,128,1,1,1,1
51,0,2429595935,41293.68734,108.231.181.139,1,129,2,1,1,1
51,0,2429530741,41293.62052,72.145.0.47,1,129,2,0.75,1,1
51,0,2429521746,41293.61088,75.186.47.16,1,129,2,1,1,1
51,0,2429502291,41293.58087,190.148.116.249,1,129,2,0.75,1,1
51,0,2429473557,41293.54927,186.162.11.7,1,129,2,0.25,0,1
51,0,2429437896,41293.48682,99.73.182.81,1,129,2,1,1,1
51,0,2429347442,41293.26902,108.15.202.52,1,129,2,1,1,1
51,0,2429334876,41293.24075,97.93.94.124,1,129,2,0.75,1,1
51,0,2429314456,41293.20302,75.148.160.117,1,129,2,0.75,1,1
11,0,2429595935,41293.68734,108.231.181.139,2,130,2,0.5,1,0
11,0,2429530741,41293.62052,72.145.0.47,2,130,2,0.25,0,0
11,0,2429521746,41293.61088,75.186.47.16,2,130,2,0.25,0,0
11,0,2429502291,41293.58087,190.148.116.249,2,130,2,0.25,0,0
11,0,2429473557,41293.54927,186.162.11.7,2,130,2,0,0,0
11,0,2429437896,41293.48682,99.73.182.81,2,130,2,0.25,0,0
11,0,2429347442,41293.26902,108.15.202.52,2,130,2,0.25,0,0
11,0,2429334876,41293.24075,97.93.94.124,2,130,2,0.75,1,0
11,0,2429314456,41293.20302,75.148.160.117,2,130,2,0.5,0,0
55,0,2429595935,41293.68734,108.231.181.139,3,131,2,0.75,1,0
55,0,2429530741,41293.62052,72.145.0.47,3,131,2,0.5,0,0
55,0,2429521746,41293.61088,75.186.47.16,3,131,2,1,1,0
55,0,2429502291,41293.58087,190.148.116.249,3,131,2,0.5,1,0
55,0,2429473557,41293.54927,186.162.11.7,3,131,2,0.75,0,0
55,0,2429437896,41293.48682,99.73.182.81,3,131,2,0.5,1,0
55,0,2429347442,41293.26902,108.15.202.52,3,131,2,1,1,0
55,0,2429334876,41293.24075,97.93.94.124,3,131,2,0.75,1,0
55,0,2429314456,41293.20302,75.148.160.117,3,131,2,0.75,1,0
41,0,2429595935,41293.68734,108.231.181.139,4,132,1,1,1,1
41,0,2429530741,41293.62052,72.145.0.47,4,132,1,1,1,1
41,0,2429521746,41293.61088,75.186.47.16,4,132,1,1,1,1
41,0,2429502291,41293.58087,190.148.116.249,4,132,1,1,1,1
41,0,2429473557,41293.54927,186.162.11.7,4,132,1,1,1,1
41,0,2429437896,41293.48682,99.73.182.81,4,132,1,1,1,1
41,0,2429347442,41293.26902,108.15.202.52,4,132,1,1,1,1
41,0,2429334876,41293.24075,97.93.94.124,4,132,1,0.75,1,1
41,0,2429314456,41293.20302,75.148.160.117,4,132,1,0.75,1,1
54,0,2429595935,41293.68734,108.231.181.139,5,133,1,0.75,1,0.88
54,0,2429530741,41293.62052,72.145.0.47,5,133,1,0.25,0,0.88
54,0,2429521746,41293.61088,75.186.47.16,5,133,1,0.75,1,0.88
54,0,2429502291,41293.58087,190.148.116.249,5,133,1,0.75,1,0.88
54,0,2429473557,41293.54927,186.162.11.7,5,133,1,0,0,0.88
54,0,2429437896,41293.48682,99.73.182.81,5,133,1,0.25,0,0.88
54,0,2429347442,41293.26902,108.15.202.52,5,133,1,0.75,1,0.88
54,0,2429334876,41293.24075,97.93.94.124,5,133,1,0.5,0,0.88
54,0,2429314456,41293.20302,75.148.160.117,5,133,1,0.5,0,0.88
8,1,2430200223,41294.65855,99.188.242.69,13,77,1,0.25,0,0
8,1,2429585833,41293.67756,97.118.153.156,13,77,1,0,0,0
8,1,2429360396,41293.30351,108.15.202.52,13,77,1,0,0,0
78,0,2429497581,41293.58176,96.39.123.248,19,115,1,0.25,0,0
83,0,2429595935,41293.68734,108.231.181.139,7,135,1,0.75,1,1
83,0,2429530741,41293.62052,72.145.0.47,7,135,1,0,0,1
83,0,2429521746,41293.61088,75.186.47.16,7,135,1,0,0,1
83,0,2429502291,41293.58087,190.148.116.249,7,135,1,0.25,0,1
83,0,2429473557,41293.54927,186.162.11.7,7,135,1,0,0,1
83,0,2429437896,41293.48682,99.73.182.81,7,135,1,0.75,1,1
83,0,2429347442,41293.26902,108.15.202.52,7,135,1,1,1,1
83,0,2429334876,41293.24075,97.93.94.124,7,135,1,0.75,1,1
83,0,2429314456,41293.20302,75.148.160.117,7,135,1,0.25,0,1
1,0,2429595935,41293.68734,108.231.181.139,8,136,2,0.75,1,1
1,0,2429530741,41293.62052,72.145.0.47,8,136,2,0,0,1
1,0,2429521746,41293.61088,75.186.47.16,8,136,2,0.75,1,1
1,0,2429502291,41293.58087,190.148.116.249,8,136,2,0.75,1,1
1,0,2429473557,41293.54927,186.162.11.7,8,136,2,0.75,1,1
1,0,2429437896,41293.48682,99.73.182.81,8,136,2,0.5,1,1
1,0,2429347442,41293.26902,108.15.202.52,8,136,2,0,0,1
1,0,2429334876,41293.24075,97.93.94.124,8,136,2,0.5,0,1
1,0,2429314456,41293.20302,75.148.160.117,8,136,2,0.5,0,1
14,0,2429595935,41293.68734,108.231.181.139,9,137,2,0.75,1,1
14,0,2429530741,41293.62052,72.145.0.47,9,137,2,0,0,1
14,0,2429521746,41293.61088,75.186.47.16,9,137,2,0.5,0,1
14,0,2429502291,41293.58087,190.148.116.249,9,137,2,0.5,1,1
14,0,2429473557,41293.54927,186.162.11.7,9,137,2,0,0,1
14,0,2429437896,41293.48682,99.73.182.81,9,137,2,0.75,1,1
14,0,2429347442,41293.26902,108.15.202.52,9,137,2,0.25,0,1
14,0,2429334876,41293.24075,97.93.94.124,9,137,2,0.75,0,1
14,0,2429314456,41293.20302,75.148.160.117,9,137,2,0,0,1
24,0,2429595935,41293.68734,108.231.181.139,10,138,2,1,1,0
24,0,2429530741,41293.62052,72.145.0.47,10,138,2,0.25,0,0
24,0,2429521746,41293.61088,75.186.47.16,10,138,2,0.75,1,0
24,0,2429502291,41293.58087,190.148.116.249,10,138,2,0.5,1,0
24,0,2429473557,41293.54927,186.162.11.7,10,138,2,0.75,0,0
24,0,2429437896,41293.48682,99.73.182.81,10,138,2,0.75,1,0
24,0,2429347442,41293.26902,108.15.202.52,10,138,2,0.5,0,0
24,0,2429334876,41293.24075,97.93.94.124,10,138,2,0.5,0,0
24,0,2429314456,41293.20302,75.148.160.117,10,138,2,0.5,1,0
84,0,2429595935,41293.68734,108.231.181.139,11,139,1,1,1,1
84,0,2429530741,41293.62052,72.145.0.47,11,139,1,0.5,0,1
84,0,2429521746,41293.61088,75.186.47.16,11,139,1,0.75,1,1
84,0,2429502291,41293.58087,190.148.116.249,11,139,1,1,1,1
84,0,2429473557,41293.54927,186.162.11.7,11,139,1,1,1,1
84,0,2429437896,41293.48682,99.73.182.81,11,139,1,0.5,0,1
84,0,2429347442,41293.26902,108.15.202.52,11,139,1,0.75,0,1
84,0,2429334876,41293.24075,97.93.94.124,11,139,1,0.5,0,1
84,0,2429314456,41293.20302,75.148.160.117,11,139,1,0.75,1,1
5,0,2429595935,41293.68734,108.231.181.139,12,140,1,0.75,1,0
5,0,2429530741,41293.62052,72.145.0.47,12,140,1,0.25,0,0
5,0,2429521746,41293.61088,75.186.47.16,12,140,1,0.75,1,0
5,0,2429502291,41293.58087,190.148.116.249,12,140,1,0.75,1,0
5,0,2429473557,41293.54927,186.162.11.7,12,140,1,0.5,0,0
5,0,2429437896,41293.48682,99.73.182.81,12,140,1,0.25,0,0
5,0,2429347442,41293.26902,108.15.202.52,12,140,1,0,0,0
5,0,2429334876,41293.24075,97.93.94.124,12,140,1,0.5,0,0
5,0,2429314456,41293.20302,75.148.160.117,12,140,1,0.5,1,0
31,0,2429595935,41293.68734,108.231.181.139,13,141,2,1,1,1
31,0,2429530741,41293.62052,72.145.0.47,13,141,2,0.75,0,1
31,0,2429521746,41293.61088,75.186.47.16,13,141,2,1,1,1
